# Tc Rp/Rs a/Rs F0 sigma
2.491174348719538134e-03 1.253959601935756597e-02 3.911003456672442979e+00 9.999885663188490259e-01 3.988599666901299464e-05
5.351092474372667884e-03 1.094923688111018763e-02 3.592413708031530373e+00 9.999849940649665481e-01 4.097184051622810137e-05
3.848684272453328781e-03 1.120885018000318013e-02 3.182613101315928006e+00 1.000007453588102946e+00 4.811644401255739151e-05
5.703444271976873536e-03 1.112383841606042444e-02 3.610269208093295212e+00 9.999847426808016193e-01 4.597258834386170679e-05
6.370966669389244164e-04 1.221928721413460470e-02 3.189409179782259685e+00 1.000010584424138038e+00 4.104588957713881017e-05
1.678179783394774527e-03 1.257778477452338103e-02 3.670778064675980445e+00 1.000010988800012379e+00 5.059498543792011123e-05
2.051186459201916057e-03 1.270208131162374465e-02 3.696551732078809493e+00 1.000005939944753841e+00 5.128774264321529379e-05
4.947986909147654433e-03 1.201833778002667046e-02 3.797375929064348288e+00 1.000008942111982435e+00 5.263655435660466312e-05
2.365678016101852021e-03 1.286456194187566085e-02 3.685293645244411831e+00 1.000006645586167142e+00 5.006708869513918508e-05
1.425191048670101934e-03 1.152697157738161171e-02 3.701052567921511383e+00 1.000001684589063133e+00 3.077061753879998163e-05
1.114695202068655827e-03 1.269496418239246180e-02 3.334738791598986118e+00 1.000010014607947362e+00 4.119542207720841738e-05
6.470297832124966009e-03 1.133223524058586326e-02 3.805741756311076252e+00 9.999902896105608008e-01 4.289603432776651091e-05
-1.009699916078035664e-03 1.272599446222503691e-02 3.422280872411135988e+00 1.000005275142606065e+00 4.365187587984865658e-05
2.889926480685443833e-03 1.221310073414062260e-02 4.021919790392058047e+00 1.000007329459399630e+00 4.939508853708870909e-05
7.140645905829891282e-03 1.155458792029987608e-02 3.798981762620551983e+00 9.999994263476514877e-01 3.961284778638413107e-05
2.138965722135365011e-03 1.224418074723366417e-02 3.835499106473703179e+00 1.000008344624770951e+00 4.754292048558964652e-05
2.276345824658076999e-03 1.078677139912164254e-02 3.252194943089977919e+00 9.999904103059165106e-01 4.295106881941237711e-05
1.733616237021874673e-03 1.208056062440612116e-02 3.523336918402424800e+00 1.000014492410560951e+00 3.864597818678293720e-05
4.077472218515391933e-03 1.254551225528692179e-02 3.527057684016781103e+00 9.999997811004236459e-01 4.317128011519451888e-05
4.615520673838753585e-03 1.194254763996654110e-02 3.543159776519876125e+00 1.000004448817905400e+00 3.090430756063164029e-05
6.805442165995594095e-03 1.146570284296785820e-02 3.488834244503661086e+00 1.000009040907547275e+00 4.845639447500778540e-05
3.417977877934276487e-03 1.183116928926137776e-02 3.445648587747545122e+00 1.000005924043378513e+00 3.527822624942607819e-05
8.164685779309441283e-03 1.123779178922522728e-02 3.364304806837607131e+00 9.999974203758457136e-01 4.385253812146938792e-05
2.789762282500586610e-03 1.183469940565686634e-02 3.484115354783247298e+00 1.000011260916865874e+00 3.916409630225284051e-05
1.911285398175942285e-03 1.111207749387745081e-02 3.329279415139133391e+00 1.000002999350549260e+00 4.567741099505687923e-05
3.332854998954963566e-03 1.106581415327743088e-02 3.838927572368381114e+00 9.999853958900793982e-01 4.926535723305930619e-05
2.592506972760207085e-03 1.103714304371574383e-02 4.001847258363627091e+00 9.999954628842023796e-01 3.978225331526091791e-05
2.990250517022653709e-04 1.183971382782877425e-02 3.573297216255900910e+00 1.000006732077834748e+00 4.713059860499058584e-05
1.549782017153479574e-03 1.220041505032631694e-02 4.075281941747833869e+00 9.999947981813377407e-01 4.053732179231776957e-05
7.975001146347839021e-03 1.178273240445192396e-02 3.477384199682099553e+00 1.000001551571752856e+00 4.801600430042254897e-05
3.670905646659283761e-03 1.168261089997456315e-02 3.462124378164227245e+00 9.999963020924443891e-01 3.720163393820985389e-05
1.983017251137579595e-03 1.243017680871747604e-02 4.021641448808688679e+00 9.999907342083788064e-01 4.722836624295111650e-05
3.180959564405692885e-03 1.288176446420644453e-02 4.016506376081771634e+00 1.000004840728445199e+00 4.803036435160568199e-05
6.126781527067970412e-03 1.084623998112680190e-02 3.423551145120906636e+00 9.999916969617661522e-01 4.405828873265906263e-05
2.448221120607857459e-03 1.095003152480843699e-02 3.755227719190493030e+00 1.000001661049817026e+00 4.057320608680359372e-05
7.179767137027635859e-03 1.139639571258930367e-02 3.613807174751745954e+00 1.000008130584351562e+00 3.425638246460556446e-05
6.708353220325043165e-03 1.241372652845232002e-02 3.862374317342782692e+00 1.000004314491218738e+00 4.417649299998933465e-05
4.335463763011852822e-03 1.344973659711958328e-02 3.983100388098026023e+00 1.000004467113048134e+00 4.165524923275183450e-05
